"Date time","Plan","Host","Requests","Traffic","Charged Traffic","Target Filters","Traffic in Bytes","Extra traffic in Bytes","Status","Message"
"2026-09-16 20:31 UTC","Mobile Proxy / Plan 2","www.google.com:443","0","0 bytes","0 bytes","no","0","0","success",""
"2026-09-16 20:31 UTC","Mobile Proxy / Plan 2","www.googletagmanager.com:443","0","0 bytes","0 bytes","no","0","0","success",""
"2026-09-16 20:31 UTC","Mobile Proxy / Plan 2","android.clients.google.com:443","0","0 bytes","0 bytes","no","0","0","success",""
"2026-09-16 20:31 UTC","Mobile Proxy / Plan 2","content-autofill.googleapis.com:443","0","0 bytes","0 bytes","no","0","0","success",""
"2026-09-16 20:31 UTC","Mobile Proxy / Plan 2","ats.psicoalianza.com:443","0","0 bytes","0 bytes","no","0","0","success",""
"2026-09-16 20:31 UTC","Mobile Proxy / Plan 2","c.clarity.ms:443","0","0 bytes","0 bytes","no","0","0","success",""
"2026-09-16 20:31 UTC","Mobile Proxy / Plan 2","mtalk.google.com:5228","0","0 bytes","0 bytes","no","0","0","success",""
"2026-09-16 20:31 UTC","Mobile Proxy / Plan 2","www.google-analytics.com:443","0","0 bytes","0 bytes","no","0","0","success",""
"2026-09-16 20:31 UTC","Mobile Proxy / Plan 2","www.gstatic.com:443","0","0 bytes","0 bytes","no","0","0","success",""
"2026-09-16 20:31 UTC","Mobile Proxy / Plan 2","accounts.google.com:443","0","0 bytes","0 bytes","no","0","0","success",""
"2026-09-16 20:31 UTC","Mobile Proxy / Plan 2","c.bing.com:443","1","224 bytes","448 bytes","yes","224","224","success",""
"2026-09-16 20:31 UTC","Mobile Proxy / Plan 2","scripts.clarity.ms:443","0","0 bytes","0 bytes","no","0","0","success",""
"2026-09-16 20:31 UTC","Mobile Proxy / Plan 2","y.clarity.ms:443","0","330 bytes","660 bytes","yes","330","330","success",""
"2026-09-16 20:30 UTC","Mobile Proxy / Plan 2","www.clarity.ms:443","1","11.28 KB","22.56 KB","yes","11553","11553","success",""
"2026-09-16 20:30 UTC","Mobile Proxy / Plan 2","c.clarity.ms:443","1","14.63 KB","29.26 KB","yes","14982","14982","success",""
"2026-09-16 20:30 UTC","Mobile Proxy / Plan 2","android.clients.google.com:443","1","12.41 KB","24.82 KB","yes","12706","12706","success",""
